,Tweet,Sentiment,Stance
0,portugal had no footballing history before ronaldo god abeg,NEUTRAL,FAVOR
1,you fucking bow to ronaldo you absolute melt,NEUTRAL,favor
2,imagine being the least toxic ronaldo account and yet still dogessi stans are crying actual tears,NEUTRAL,NOT IDENTIFIED
3,ronaldo is loved by the media mehn messi by the world,NEUTRAL,AGAINST
4,ronaldo tops messi on goals only,NEUTRAL,AGAINST
5,1 ronaldo 2 maradona 3 pele 4 messi thats what i think and feel,NEUTRAL,FAVOR
6,well duh,NEUTRAL,NEUTRAL
7,ask the person who made the initial tweet its both mbapp n messi that ended the world cup not messi n ronaldo,NEUTRAL,AGAINST
8,inspiring una someone is playing his football and building legacy for himself but mose he s doing it for ronaldo i know your love for these young boys will turn to hate when they start comparing them to your cr7 and i will be waiting for that day waahh,NEUTRAL,NOT IDENTIFIED
9,see ehn if you want to mention leagues in europe regarding messi stop mentioning epl man conquered that league without even playing there he has more goals against top 6 epl teams than ronaldo wey spend pass 4 szsn for there plus hes winning another bdor outside barca,NEUTRAL,NOT IDENTIFIED
10,messi is kylian s idol with ronaldo,NEUTRAL,F
11,this pic is rubbish messi his been helped by team but ronaldo is a one man purely talented player take it or not messi is industrial made goat but ronaldo is the goat from heaven,NEUTRAL,F
12,cristiano ronaldo is named in the worst team of the world cup in qatar,NEUTRAL,F
13,its better if you stop now and avoid further embarrassment messi fans have already moved on ronaldo isnt even relevant anymore the debate ended long back and the wc was nail in the coffin the egg is more relevant now than ronaldo,NEUTRAL,F
14,1 ronaldo 2 maradona 3 pele 4 messi thats what i think and feel,NEUTRAL,F
15,most insecure fanbase lmaoooo ronaldo is the goat keep crying,NEUTRAL,F
16,people forgetting a 37 year old ronaldo outscored messi last season whilst playing for a failing man united team in the toughest league in the world meanwhile messi couldnt score for the best team in a farmers league pick who you want i dont care but theyve both been great 1 2,NEUTRAL,FF
17,i will never understand how people take comments about messi vs ronaldo so personally hahaha like those guys are millionaires and who don t even know you exist but thanks for backing me,NEUTRAL,F
18,ronaldo better who cares and ronaldo doesnt need a wc to prove himself as the goat he is already one,NEUTRAL,F
19,ronaldo is still my goat and nothing can change that,NEUTRAL,F
20,messi and ronaldo goat,NEUTRAL,F
21,ur saying that like i like ronaldo fuck that adams apple merchant,NEUTRAL,F
22,2018 panini world cup mbappe good 80 2018 wc mbappe sgc 8 35 2018 wc ronaldo sgc 8 25 2008 09 ronaldo cl 65,NEUTRAL,F
23,seems legit,NEUTRAL,F
24,this needed to be said 1 messi 2 ronaldo 3 neymar,NEUTRAL,F
25,context ronaldo i got a new redbull flavour btw,NEUTRAL,F
26,madrid understand the game pass barca also madrid flop when ronaldo leave get ur fact straight,NEUTRAL,F
27,ronaldo fans can t handle messi winning,NEUTRAL,F
28,as long as no ronaldo i agree what ever the team,NEUTRAL,F
29,exacto,NEUTRAL,F
30,ronaldo living rent free in your head lmao not even about him,NEUTRAL,F
31,goodness me concentrate on your own life because the strange obsession with ronaldo and constantly having something negative to say about harry and meghan shows that you really are a sad little man,NEUTRAL,F
32,nope messi curry ronaldo kyrie lebron kd mbappe luka ja giannis or devin booker,NEUTRAL,F
33,the messi and ronaldo debate was always based on clout not football,NEUTRAL,F
34,fact never has a not football league team qualified for the world cup,NEUTRAL,F
35,thats why ronaldo is the its not only bc of being the best player but also bc of his personality ronaldo speaks his mind tells the truth is a very kind and thoughtful person,NEUTRAL,F
36,the goat ronaldo lihat video clinton,NEUTRAL,F
37,im happy messi won the wc would have e preferred ronaldo but one of them had to win it for the story of both of their careers just a shame they act like this towards ronaldo,NEUTRAL,F
38,ronaldo did it tho moved when man u was dominant same with madrid and juve so tf u talking about,NEUTRAL,F
39,swimfan,NEUTRAL,F
40,and frances first penalty was a penalty lighter than dimaria tackle you have really lost the plot stop fame whoring using ronaldo leave that guy alone as well you will take him down,NEUTRAL,F
41,watch top goals by cristiano ronaldo,NEUTRAL,F
42,bro take a rest messi vs ronaldo is over its messi vs the egg now leave the conversation my friend,NEUTRAL,F
43,i thought you were a ronaldo rider,NEUTRAL,F
44,sigma males support ronaldo if you dont believe study every ronaldo fans character,NEUTRAL,F
45,ronaldo fans are gonna cry even more now,NEUTRAL,F
46,rest my friend its over ronaldo still one of the greatest,NEUTRAL,F
47,de paul has more world cups than ronaldo,NEUTRAL,F
48,ronaldo na she goat,NEUTRAL,F
49,shut up he won two international trophys before your short man devil lmao besides world isnt designed to be won by everyone argentina win this twice before portugal hardly qualify for it before ronaldo it brought them up to the light hes literally the goat,NEUTRAL,F
