Tweet,Stance,Index,Original Tweet
portugal had no footballing history before ronaldo god abeg,FAVOR,1,Portugal had no footballing history before Ronaldo .....God abeg 😭😭 https://t.co/330ZKf0PPR
you fucking bow to ronaldo you absolute melt,FAVOR,2,@piersmorgan You fucking bow to Ronaldo you absolute melt 😂😂😂
imagine being the least toxic ronaldo account and yet still dogessi stans are crying actual tears,NONE,3,"@totalcristiano @Altin30i imagine being the least toxic Ronaldo account and yet still dogessi stans are crying, actual tears"
ronaldo is loved by the media mehn messi by the world,AGAINST,4,Ronaldo is loved by the media mehn . Messi by the world
ronaldo tops messi on goals only,AGAINST,5,@Mo_roxxmedia @brfootball @BleacherReport Ronaldo tops messi on goals only.... 🙄
1 ronaldo 2 maradona 3 pele 4 messi thats what i think and feel,FAVOR,6,"@ESPNUK 1.Ronaldo 
2. Maradona
3.pele 
4.Messi
That's what I think and feel😣."
well duh,NONE,7,@3YearLetterman @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Well duh.
ask the person who made the initial tweet its both mbapp n messi that ended the world cup not messi n ronaldo,AGAINST,8,@cange_james @ShanksRo @bresap13 @Feunekz @_common_W_ Ask the person who made the initial tweet. It's both Mbappé n Messi that ended the world cup not Messi n Ronaldo.
inspiring una someone is playing his football and building legacy for himself but mose he s doing it for ronaldo i know your love for these young boys will turn to hate when they start comparing them to your cr7 and i will be waiting for that day waahh,NONE,9,@NanaKof78032977 @Cristiano inspiring una? someone is playing his football and building legacy for himself but mose he’s doing it for Ronaldo. I know your love for these young boys will turn to hate when they start comparing them to your cr7 and I will be waiting for that day waahh.
see ehn if you want to mention leagues in europe regarding messi stop mentioning epl man conquered that league without even playing there he has more goals against top 6 epl teams than ronaldo wey spend pass 4 szsn for there plus hes winning another bdor outside barca,AGAINST,10,@SAMJAY463 @europefootb @kemz_mama @Anambrapunter @metuchizzy @piersmorgan @38 See ehn if you want to mention leagues in Europe regarding Messi stop mentioning EPL. Man  conquered that league without even playing there 😂😂. He has more goals against top 6 epl teams than Ronaldo wey spend pass 4 szsn for there. Plus he's winning another bdor outside Barca
messi is kylian s idol with ronaldo,NONE,11,@daiyalnaa Messi is Kylian’s idol with Ronaldo💀
this pic is rubbish messi his been helped by team but ronaldo is a one man purely talented player take it or not messi is industrial made goat but ronaldo is the goat from heaven,FAVOR,12,"@maspatel01 @piersmorgan @Cristiano This pic is rubbish, messi his been helped by team but Ronaldo is a one man purely talented player take it or not 

Messi is industrial made Goat,but ronaldo is the goat from heaven🤩"
cristiano ronaldo is named in the worst team of the world cup in qatar,AGAINST,13,Cristiano Ronaldo is named in the WORST team of the World Cup in Qatar https://t.co/axKZ0YsiLs
its better if you stop now and avoid further embarrassment messi fans have already moved on ronaldo isnt even relevant anymore the debate ended long back and the wc was nail in the coffin the egg is more relevant now than ronaldo,AGAINST,14,"@laligafrauds It's better if you stop now and avoid further embarrassment. Messi fans have already moved on, Ronaldo isn't even relevant anymore, the debate ended long back and the WC was nail in the coffin.

""The egg"" is more relevant now than Ronaldo."
1 ronaldo 2 maradona 3 pele 4 messi thats what i think and feel,FAVOR,15,"@ESPNUK 1.Ronaldo 
2. Maradona
3.pele 
4.Messi
That's what I think and feel😣"
most insecure fanbase lmaoooo ronaldo is the goat keep crying,FAVOR,16,"@fayzzzzzinho @totalcristiano @Altin30i most insecure fanbase lmaoooo

Ronaldo is the goat, keep crying"
people forgetting a 37 year old ronaldo outscored messi last season whilst playing for a failing man united team in the toughest league in the world meanwhile messi couldnt score for the best team in a farmers league pick who you want i dont care but theyve both been great 1 2,NONE,17,@TeamCRonaldo People forgetting a 37 year old Ronaldo outscored Messi last season whilst playing for a failing Man United team in the toughest league in the world. Meanwhile Messi couldnt score for the best team in a farmers league. Pick who you want I don't care but theyve both been great 1/2
i will never understand how people take comments about messi vs ronaldo so personally hahaha like those guys are millionaires and who don t even know you exist but thanks for backing me,NONE,18,@donrosc @bilalcov98 @SandhuMMA I will never understand how people take comments about Messi vs Ronaldo so personally hahaha. Like those guys are millionaires and who don’t even know you exist. But thanks for backing me
ronaldo better who cares and ronaldo doesnt need a wc to prove himself as the goat he is already one,FAVOR,19,@FCBarcelona @FIFAWorldCup Ronaldo better. Who cares... and ronaldo doesn't need a wc to prove himself as the goat he is already one.
ronaldo is still my goat and nothing can change that,FAVOR,20,@__georginagio Ronaldo is still my goat 🐐 and nothing can change that
messi and ronaldo goat,NONE,21,@DigitoPlays messi and ronaldo goat
ur saying that like i like ronaldo fuck that adams apple merchant,NONE,22,@thfc_sam_ Ur saying that like I like ronaldo 🤣fuck that Adams apple merchant
2018 panini world cup mbappe good 80 2018 wc mbappe sgc 8 35 2018 wc ronaldo sgc 8 25 2008 09 ronaldo cl 65,NONE,23,"@LAcarddude 2018 Panini World Cup Mbappe Good: $80;
2018 WC Mbappe SGC 8: $35;
2018 WC Ronaldo, SGC 8: $25;
2008-09 Ronaldo CL: $65; https://t.co/E73Ca3bFl9"
seems legit,NONE,24,@3YearLetterman @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Seems legit…
this needed to be said 1 messi 2 ronaldo 3 neymar,AGAINST,25,"this needed to be said 🙌 

1) Messi
2) Ronaldo 
3) Neymar"
