,Date,User,Tweet
0,2022-12-19 23:59:58+00:00,godwithyall,Portugal had no footballing history before Ronaldo .....God abeg 😭😭 https://t.co/330ZKf0PPR
1,2022-12-19 23:59:54+00:00,beadleboy2808,@piersmorgan You fucking bow to Ronaldo you absolute melt 😂😂😂
2,2022-12-19 23:59:54+00:00,ITrulyKnowBall,"@totalcristiano @Altin30i imagine being the least toxic Ronaldo account and yet still dogessi stans are crying, actual tears"
3,2022-12-19 23:59:52+00:00,Ugo_S_god,Ronaldo is loved by the media mehn . Messi by the world https://t.co/IaV6wWCztE
4,2022-12-19 23:59:49+00:00,MbaluVictory,@Mo_roxxmedia @brfootball @BleacherReport Ronaldo tops messi on goals only.... 🙄
5,2022-12-19 23:59:49+00:00,mosesmwalajr,"@ESPNUK 1.Ronaldo 
2. Maradona
3.pele 
4.Messi
That's what I think and feel😣."
6,2022-12-19 23:59:48+00:00,ZMoe420,@3YearLetterman @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Well duh.
7,2022-12-19 23:59:48+00:00,Claudet43678682,@cange_james @ShanksRo @bresap13 @Feunekz @_common_W_ Ask the person who made the initial tweet. It's both Mbappé n Messi that ended the world cup not Messi n Ronaldo.
8,2022-12-19 23:59:35+00:00,ofori_ronald,@NanaKof78032977 @Cristiano inspiring una? someone is playing his football and building legacy for himself but mose he’s doing it for Ronaldo. I know your love for these young boys will turn to hate when they start comparing them to your cr7 and I will be waiting for that day waahh.
9,2022-12-19 23:59:34+00:00,emiRexxi,@SAMJAY463 @europefootb @kemz_mama @Anambrapunter @metuchizzy @piersmorgan @38 See ehn if you want to mention leagues in Europe regarding Messi stop mentioning EPL. Man  conquered that league without even playing there 😂😂. He has more goals against top 6 epl teams than Ronaldo wey spend pass 4 szsn for there. Plus he's winning another bdor outside Barca
10,2022-12-19 23:59:34+00:00,OdioTodoFr,@daiyalnaa Messi is Kylian’s idol with Ronaldo💀
11,2022-12-19 23:59:32+00:00,taiwoegbeleke7,"@maspatel01 @piersmorgan @Cristiano This pic is rubbish, messi his been helped by team but Ronaldo is a one man purely talented player take it or not 

Messi is industrial made Goat,but ronaldo is the goat from heaven🤩"
12,2022-12-19 23:59:31+00:00,Proximaa24,Cristiano Ronaldo is named in the WORST team of the World Cup in Qatar https://t.co/axKZ0YsiLs
13,2022-12-19 23:59:29+00:00,BlaugranaAddict,"@laligafrauds It's better if you stop now and avoid further embarrassment. Messi fans have already moved on, Ronaldo isn't even relevant anymore, the debate ended long back and the WC was nail in the coffin.

""The egg"" is more relevant now than Ronaldo."
14,2022-12-19 23:59:25+00:00,mosesmwalajr,"@ESPNUK 1.Ronaldo 
2. Maradona
3.pele 
4.Messi
That's what I think and feel😣"
15,2022-12-19 23:59:24+00:00,ITrulyKnowBall,"@fayzzzzzinho @totalcristiano @Altin30i most insecure fanbase lmaoooo

Ronaldo is the goat, keep crying"
16,2022-12-19 23:59:20+00:00,PandaEyes0908,@TeamCRonaldo People forgetting a 37 year old Ronaldo outscored Messi last season whilst playing for a failing Man United team in the toughest league in the world. Meanwhile Messi couldnt score for the best team in a farmers league. Pick who you want I don't care but theyve both been great 1/2
17,2022-12-19 23:59:18+00:00,Avinassh17,@donrosc @bilalcov98 @SandhuMMA I will never understand how people take comments about Messi vs Ronaldo so personally hahaha. Like those guys are millionaires and who don’t even know you exist. But thanks for backing me
18,2022-12-19 23:59:16+00:00,karlkhoury28,@FCBarcelona @FIFAWorldCup Ronaldo better. Who cares... and ronaldo doesn't need a wc to prove himself as the goat he is already one.
19,2022-12-19 23:59:12+00:00,andy_hubris,@__georginagio Ronaldo is still my goat 🐐 and nothing can change that
20,2022-12-19 23:59:12+00:00,Stupid_______1,@DigitoPlays messi and ronaldo goat
21,2022-12-19 23:59:12+00:00,UtdHenners,@thfc_sam_ Ur saying that like I like ronaldo 🤣fuck that Adams apple merchant
22,2022-12-19 23:59:10+00:00,thekneeguy,"@LAcarddude 2018 Panini World Cup Mbappe Good: $80;
2018 WC Mbappe SGC 8: $35;
2018 WC Ronaldo, SGC 8: $25;
2008-09 Ronaldo CL: $65; https://t.co/E73Ca3bFl9"
23,2022-12-19 23:59:09+00:00,jdcurrey,@3YearLetterman @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Seems legit…
24,2022-12-19 23:59:05+00:00,jojistein,"this needed to be said 🙌 

1) Messi
2) Ronaldo 
3) Neymar"
25,2022-12-19 23:58:57+00:00,FollowTrent_,"@ContextRonaldo Context Ronaldo, I got a new Redbull Flavour btw"
26,2022-12-19 23:58:57+00:00,BelloHa23115163,"@khumezzy @cfcwil11 @ownedbymessi @amitttrmfc Madrid understand the game pass Barca.
 Also Madrid flop when Ronaldo leave get ur fact straight"
27,2022-12-19 23:58:56+00:00,DryyEyezz,Ronaldo fans can’t handle Messi winning 😂😂😂😂 https://t.co/0gYEf0u2jf
28,2022-12-19 23:58:55+00:00,Imoxus_,"@NuhuLukman8 @NabeelH09939666 @KSI EPL is on a completely different level to La Liga. Hardest and most physical league in the world. I mean look what happened when he made the switch to PSG, in a not hard league at all. His 1st season was garbage, worst then Ronaldo's bad season this year."
29,2022-12-19 23:58:54+00:00,supirPORestu,"@ESPNFC as long as NO Ronaldo, i agree what ever the team"
30,2022-12-19 23:58:50+00:00,007Albertom,@apb40 @Cristiano Exacto!
31,2022-12-19 23:58:50+00:00,thatmfpatrick,@boychild_cookie @bresap13 @CryptoTroll10 @Feunekz @_common_W_ Ronaldo living rent free in your head lmao not even about him
32,2022-12-19 23:58:48+00:00,santan85,@piersmorgan Goodness me @piersmorgan concentrate on your own life because the strange obsession with ronaldo and constantly having something negative to say about harry and meghan shows that you really are a sad little man
33,2022-12-19 23:58:46+00:00,cloakfnx,"@Lytswtf nope Messi = Curry 
Ronaldo = Kyrie/Lebron/KD
Mbappe = Luka/Ja/Giannis or Devin Booker"
34,2022-12-19 23:58:45+00:00,juneafrika,"The Messi and Ronaldo debate was always based on clout, not football."
35,2022-12-19 23:58:42+00:00,CaldwellColin,"@3YearLetterman @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Fact:
Never has a Not Football League team qualified for the World Cup."
36,2022-12-19 23:58:41+00:00,whitekimono47,"Thats why Ronaldo is the 🐐 
Its not only bc of being the best player but also bc of his personality. Ronaldo speaks his mind, tells the truth, is a very kind and thoughtful person. #CristianoRonaldo https://t.co/vp6JLx3LsU"
37,2022-12-19 23:58:35+00:00,MelanesiaPublic,The Goat Ronaldo Lihat video Clinton! #TikTok https://t.co/Dfw59CGolr
38,2022-12-19 23:58:35+00:00,Ben_JaminF1,"I'm happy Messi won the WC, would have e preferred Ronaldo but one of them had to win it for the story of both of their careers, just a shame they act like this towards Ronaldo https://t.co/GMvWMnpOhV"
39,2022-12-19 23:58:33+00:00,sirsavagex,"@juicy_rep @J15SV @MacBreandan @henrywinter Ronaldo did it tho, moved when Man U was dominant, same with Madrid and Juve so tf u talking about"
40,2022-12-19 23:58:28+00:00,BibleGains,@3YearLetterman @RichieR77444720 @TeamMessi @Cristiano @AaronDonald97 @atrupar @EricPickles @UKHouseofLords @WaffleHouse @mikepiazza31 @MileyCyrus @billyraycyrus Swimfan 😂😂😂😂😂
41,2022-12-19 23:58:26+00:00,Jo25419339,@piersmorgan And France's first penalty was a penalty. Lighter than dimaria tackle. You have really lost the plot. Stop fame whoring using Ronaldo..leave that guy alone as well..you will take.him.down
42,2022-12-19 23:58:21+00:00,shreyansh_sood,@iUsedToBeADuck Watch top goals by Cristiano Ronaldo
43,2022-12-19 23:58:19+00:00,sidexe3,"@Nerdz1997 @doronklemer @india97sm @AllySmith111 @andy_murray @FIFAWorldCup @piersmorgan Bro take a rest, messi vs ronaldo is over, its messi vs the egg now, leave the conversation my friend"
44,2022-12-19 23:58:19+00:00,Confidin6,@BigLegy I thought you were a Ronaldo rider?
45,2022-12-19 23:58:17+00:00,wh0ispabl0,"Sigma males support Ronaldo.
If you don't believe study every Ronaldo fan's character."
46,2022-12-19 23:58:17+00:00,Rsecret9,"@CFCRaf2 Rest my Friend, it's over. Ronaldo still one of the greatest"
47,2022-12-19 23:58:12+00:00,thfc_sam_,@UtdHenners De Paul has more world cups than ronaldo😂
48,2022-12-19 23:58:11+00:00,hiroakashi_,i won the same amount of world cups as ronaldo
49,2022-12-19 23:58:01+00:00,sonicthemafia_g,Ronaldo na she goat 🤣😂🤣
